episode,reward
0,100
1,-94
2,99
3,92
4,-61
5,30
6,99
7,100
8,-81
9,100
10,95
11,100
12,100
13,-153
14,99
15,-220
16,99
17,94
18,-109
19,100
20,77
21,97
22,88
23,100
24,99
25,-27
26,-285
27,99
28,100
29,100
30,100
31,-99
32,89
33,100
34,72
35,-205
36,99
37,41
38,100
39,99
40,86
41,-241
42,99
43,85
44,99
45,-86
46,-29
47,100
48,100
49,63
50,99
51,94
52,94
53,95
54,81
55,100
56,86
57,99
58,-60
59,100
60,97
61,100
62,99
63,-10
64,100
65,100
66,-34
67,92
68,-156
69,94
70,100
71,99
72,99
73,99
74,-60
75,100
76,94
77,100
78,81
79,90
80,99
81,83
82,100
83,-58
84,99
85,99
86,3
87,97
88,99
89,100
90,-71
91,100
92,55
93,99
94,25
95,27
96,67
97,38
98,100
99,100
100,94
101,100
102,-153
103,85
104,99
105,100
106,100
107,100
108,73
109,-266
110,100
111,100
112,44
113,-74
114,96
115,99
116,28
117,57
118,100
119,47
120,-64
121,83
122,88
123,100
124,-44
125,99
126,50
127,100
128,99
129,92
130,100
131,-182
132,95
133,41
134,100
135,99
136,98
137,97
138,75
139,72
140,80
141,99
142,18
143,100
144,100
145,98
146,50
147,99
148,99
149,99
150,100
151,100
152,100
153,96
154,100
155,91
156,97
157,100
158,-101
159,77
160,-2
161,78
162,97
163,90
164,100
165,-220
166,92
167,43
168,94
169,99
170,78
171,100
172,91
173,-23
174,92
175,100
176,95
177,-118
178,87
179,57
180,41
181,99
182,89
183,-4
184,99
185,91
186,-73
187,99
188,82
189,98
190,-45
191,82
192,99
193,85
194,100
195,99
196,98
197,100
198,100
199,99
200,98
201,-130
202,100
203,71
204,100
205,100
206,-156
207,81
208,79
209,92
210,100
211,100
212,-206
213,27
214,5
215,85
216,99
217,90
218,99
219,100
220,40
221,100
222,-176
223,100
224,90
225,100
226,94
227,-254
228,98
229,0
230,50
231,100
232,45
233,-62
234,64
235,-17
236,11
237,82
238,97
239,99
240,100
241,-249
242,99
243,94
244,73
245,97
246,97
247,100
248,-256
249,99
250,100
251,95
252,98
253,99
254,99
255,85
256,100
257,-203
258,89
259,100
260,92
261,96
262,11
263,56
264,77
265,90
266,100
267,99
268,99
269,99
270,73
271,84
272,99
273,-105
274,-85
275,100
276,65
277,99
278,92
279,96
280,42
281,18
282,96
283,2
284,89
285,89
286,53
287,100
288,99
289,100
290,100
291,34
292,-36
293,94
294,99
295,100
296,16
297,100
298,97
299,97
300,97
301,46
302,100
303,100
304,96
305,40
306,97
307,94
308,67
309,94
310,100
311,100
312,90
313,93
314,-367
315,38
316,89
317,-11
318,99
319,-16
320,18
321,99
322,69
323,11
324,100
325,71
326,63
327,-67
328,96
329,100
330,-58
331,100
332,95
333,100
334,100
335,95
336,99
337,50
338,94
339,78
340,97
341,99
342,97
343,-114
344,93
345,100
346,97
347,42
348,-96
349,98
350,100
351,100
352,100
353,99
354,3
355,100
356,99
357,35
358,99
359,97
360,-344
361,98
362,74
363,94
364,97
365,18
366,98
367,100
368,13
369,100
370,99
371,100
372,-22
373,62
374,-169
375,54
376,84
377,100
378,-126
379,0
380,100
381,3
382,100
383,45
384,75
385,97
386,100
387,-57
388,95
389,94
390,99
391,67
392,38
393,58
394,100
395,96
396,74
397,100
398,81
399,99
400,30
401,98
402,17
403,99
404,99
405,-119
406,100
407,26
408,53
409,97
410,-21
411,85
412,94
413,100
414,100
415,90
416,-42
417,-53
418,65
419,-29
420,51
421,55
422,100
423,99
424,91
425,-40
426,100
427,93
428,96
429,87
430,98
431,88
432,97
433,-132
434,46
435,91
436,99
437,53
438,76
439,97
440,-96
441,54
442,-43
443,100
444,100
445,36
446,96
447,95
448,99
449,-126
450,97
451,41
452,95
453,100
454,79
455,100
456,47
457,64
458,9
459,63
460,100
461,99
462,99
463,-215
464,93
465,100
466,100
467,100
468,100
469,96
470,100
471,71
472,100
473,99
474,97
475,100
476,-228
477,99
478,99
479,95
480,94
481,97
482,97
483,99
484,-89
485,85
486,22
487,100
488,2
489,99
490,98
491,-21
492,100
493,94
494,73
495,-110
496,95
497,67
498,99
499,99
