episode,reward
0,97
1,84
2,100
3,14
4,99
5,94
6,-153
7,91
8,-74
9,86
10,-30
11,99
12,17
13,77
14,93
15,99
16,99
17,100
18,-229
19,-2
20,34
21,100
22,100
23,76
24,99
25,32
26,100
27,-85
28,-105
29,100
30,-86
31,92
32,75
33,97
34,99
35,100
36,31
37,14
38,99
39,97
40,99
41,-454
42,100
43,67
44,-115
45,92
46,98
47,97
48,100
49,-263
50,67
51,27
52,100
53,97
54,93
55,99
56,56
57,100
58,-435
59,100
60,79
61,96
62,85
63,34
64,52
65,33
66,100
67,58
68,100
69,100
70,-257
71,88
72,-129
73,100
74,91
75,-255
76,72
77,-40
78,97
79,99
80,24
81,86
82,99
83,99
84,-314
85,94
86,100
87,100
88,-47
89,-45
90,-161
91,95
92,99
93,-62
94,100
95,-190
96,-24
97,100
98,56
99,89
100,99
101,25
102,99
103,-78
104,90
105,-146
106,58
107,100
108,43
109,-68
110,93
111,100
112,61
113,100
114,-97
115,-104
116,92
117,41
118,94
119,99
120,-68
121,97
122,99
123,99
124,71
125,100
126,-170
127,14
128,99
129,99
130,100
131,91
132,-195
133,99
134,99
135,55
136,-145
137,-8
138,-15
139,22
140,100
141,99
142,100
143,98
144,99
145,99
146,100
147,99
148,-110
149,89
150,99
151,-18
152,47
153,45
154,49
155,13
156,97
157,99
158,-13
159,100
160,99
161,99
162,93
163,-25
164,93
165,43
166,99
167,100
168,-99
169,99
170,-199
171,24
172,99
173,99
174,99
175,100
176,100
177,100
178,100
179,6
180,99
181,97
182,100
183,97
184,94
185,99
186,72
187,-317
188,94
189,-51
190,69
191,70
192,0
193,92
194,88
195,99
196,99
197,-295
198,87
199,-76
200,94
201,98
202,-50
203,100
204,100
205,99
206,78
207,100
208,99
209,81
210,99
211,97
212,-375
213,94
214,-74
215,-14
216,39
217,37
218,99
219,61
220,35
221,96
222,92
223,31
224,-53
225,87
226,99
227,-210
228,83
229,95
230,100
231,-112
232,59
233,99
234,16
235,-121
236,24
237,64
238,27
239,100
240,81
241,99
242,-203
243,99
244,99
245,100
246,-45
247,99
248,96
249,84
250,95
251,-52
252,52
253,99
254,77
255,79
256,29
257,92
258,-170
259,46
260,100
261,30
262,99
263,95
264,-75
265,100
266,-4
267,99
268,-60
269,74
270,100
271,87
272,-156
273,97
274,24
275,-65
276,88
277,100
278,90
279,-173
280,100
281,32
282,99
283,99
284,99
285,-51
286,97
287,100
288,100
289,84
290,100
291,100
292,-308
293,89
294,56
295,46
296,100
297,99
298,37
299,20
300,94
301,-26
302,96
303,99
304,99
305,99
306,97
307,62
308,99
309,99
310,-60
311,57
312,100
313,59
314,99
315,67
316,55
317,99
318,26
319,-42
320,100
321,80
322,55
323,97
324,-129
325,96
326,52
327,100
328,99
329,-220
330,99
331,98
332,100
333,61
334,99
335,100
336,-186
337,100
338,98
339,87
340,94
341,-41
342,93
343,96
344,97
345,20
346,-226
347,100
348,100
349,100
350,99
351,-78
352,-125
353,50
354,97
355,-6
356,-32
357,99
358,-32
359,-5
360,-8
361,36
362,23
363,99
364,100
365,-111
366,72
367,100
368,100
369,91
370,-301
371,-67
372,-7
373,100
374,-70
375,-26
376,-35
377,-32
378,93
379,97
380,99
381,-207
382,97
383,89
384,100
385,95
386,48
387,96
388,70
389,50
390,-153
391,99
392,-60
393,97
394,76
395,99
396,100
397,99
398,-24
399,-126
400,10
401,94
402,99
403,100
404,-88
405,100
406,44
407,99
408,99
409,94
410,-211
411,100
412,100
413,-159
414,20
415,99
416,37
417,100
418,99
419,100
420,97
421,-212
422,88
423,99
424,26
425,94
426,99
427,-186
428,34
429,100
430,100
431,63
432,99
433,-227
434,100
435,-25
436,26
437,31
438,91
439,97
440,-55
441,100
442,-48
443,-14
444,100
445,100
446,100
447,18
448,-211
449,62
450,98
451,98
452,-147
453,97
454,-58
455,91
456,100
457,99
458,-16
459,100
460,100
461,99
462,94
463,-455
464,97
465,93
466,-76
467,98
468,100
469,97
470,99
471,-236
472,26
473,98
474,89
475,100
476,96
477,100
478,62
479,84
480,100
481,-219
482,22
483,99
484,100
485,99
486,100
487,99
488,99
489,99
490,82
491,99
492,99
493,85
494,99
495,100
496,100
497,99
498,-262
499,92
